


本科毕业论文（设计）

题目： 基于微信小程序的英语随时学的设计与实现                                      
  




　　　　　　　学       院：   信息科学与工程学院          
　　　　　　　专       业：   计算机科学与技术        
　　　　　　　学 生 姓 名：   杜  恒              
　　　　　　　学       号：   632107060410      
　　　　　　　指 导 教 师：   周  翔              
　　　　　　　评 阅 教 师：                       
　　　　　　　完 成 时 间：   2025年5月20日     
　　　　　　　　　
                   重庆交通大学
CHONGQING JIAOTONG UNIVERSITY

本科毕业论文（设计）原创性声明
　　本人郑重声明：所提交的毕业论文（设计），是本人在导师指导下，独立进行研究工作所取得的成果。除文中已注明引用的内容外，本论文不包含任何其他个人或集体已经发表或撰写过的作品成果。对本文研究做出过重要贡献的个人和集体，均已在文中以明确方式标明。
　　本人完全意识到本声明的法律后果由本人承担。
　　作者签名（亲笔）：                    年     月     日
-------------------------------------------------------------------------------------------------
本科毕业论文（设计）版权使用授权书
　　本毕业论文（设计）作者完全了解学校有关保留、使用学位论文的规定，本科生在校攻读期间毕业论文（设计）工作的知识产权单位属重庆交通大学，同意学校保留并向国家有关部门或机构送交论文的复印件和电子版，允许论文被查阅和借阅；本人授权重庆交通大学可以将毕业论文（设计）的全部或部分内容编入有关数据库进行检索，可以采用影印、缩印或扫描等复制手段保存、汇编毕业设计（论文）。
    作者签名（亲笔）：                    年     月     日
　　导师签名（亲笔）：                    年     月     日











摘    要
　　在数字经济盛行的当今环境下，人工智能大模型以及软件技术的迅速兴起，越来越多的英语学习者对于英语的学习更倾向于数字化学习。基于微信小程序的英语学习平台因其便捷性，即时性和个性化服务优势，逐渐成为现代语言学习的重要工具。本文为了满足用户多样化的英语学习需求，设计并实现了一个基于微信小程序的英语随时学的平台，此平台融合了智能化推荐算法以及交互式学习模式，其主要功能模块包括：基于用户学习水平的个性化单词推荐、多功能单词学习、精准化单词测试、人工智能文本对话答疑、英语发音评测助手以及完善的后台管理系统。系统通过智能化途径和自适应算法极大的提高用户英语学习水平，通过人工智能赋能英语学习实现普惠化，本系统研究主要介绍该课题的研究背景，开发环境，系统总体设计，系统的详细设计以及该平台各功能模块的测试。

关键词：英语学习；微信小程序；人工智能；英语发音评测助手；个性化推荐；



Design and Implementation of an Anytime English Learning WeChat Mini-Program  

Abstract 
　　With the rapid technology development，AI and soft skill are also reshaping the style of English learning quickly.More and more English learners now prefer to choose the flexible and convenient tech-based studying.In response to this trend，thesis designed the uniapp base don Wechat applets to help user to improve the quality of English Learning.The English learning platform based on WeChat mini programs has gradually become an important tool for modern language learning due to its convenience, immediacy, and personalized service advantages. The platform provides a user-friendly vocabulary recommendation, learning exercise, interactive AI dialogue training, progress monitoring with a variety of learning tools. It integrates the popular spread advantage of WeChat with artificial intelligence technology and implements an interactive method by choosing the front-end applet framework on the one hand and the back-end natural language processing model on the other hand.The experiment verified the feasibility of the main functions of the platform (i.e. personalized word recommendation and intelligent AI dialogue), and the research results indicate that the lightweight AI mobile platform can effectively help language learning, particularly suitable for learners with the pursuit of convenience. The work should be improved and optimized on the capability of dialog situation understanding and the adaptive learning function in the future.This work validate the role of integration between user-friendly smartphones apps and artificial intelligence to empower digital age the language learning equity.The system greatly improves users' English learning level through intelligent approaches and adaptive algorithms, empowering English learning with artificial intelligence to achieve universality. 
Keywords: English learning; WeChat mini-program; artificial intelligence; English Pronunciation Assessment Assistant; Personalized recommendations;

目    录

摘    要	II
　　接下来，在系统开发与测试方面，系统的开发工作主要是客户端前端开发，网页端前端开发以及系统后端开发，客户端前端开发主要是围绕用户对英语学习要求的分析而展开的。系统后端的开发是基于小程序客户端与系统管理员端的共同使用逻辑进行开发的，通过搭建后端服务器，实现用户的个人信息管理，学习数据管理，单词推荐等模块信息的存储。在前后端开发过程中也需要有接口的对接测试，主要使用的Apifox来实现接口的测试以及接口的管理，进行单元测试，集成测试，通过上述内容来确保系统各功能模块能够相互协同进行工作，减少误差。
　　在安全性与性能优化方面，为了该系统的安全性，系统在对于用户密码的保存中采用了MD5加密，通过阅读关于MD5的参考文献，了解其中关于MD5的应用场景，根据该MD5加密算法在PHP中的应用[18]，结合java开发的特点，因此在sql中主要采用了MD5的加密函数进行加密。对于在客户端用户在进行加载之前学习数据时的时间过长，通过使用分页获取学习信息的方法，大大降低了数据读取时间，缓解了系统硬件压力，提高了系统性能。
　　最后，在测试完善与平台上线方面，在完成整个系统网页端、客户端以及后端开发工作后，进行系统测试，在测试完成之后将系统部署至生产环境中，进行最终测试，确保最后系统上线时准确无误。
　　本项目的目的主要是为了打造一个能够帮助用户进行英语学习的平台，针对用户的学习行为数据，更精准的对用户进行画像，利用精准的推荐算法权重，帮助用户在学英语的方向越走越远。
1.5  结构安排
　　本论文共分为八个章节，具体如下：
　　第一章：本章综述了基于微信小程序的研究背景、研究目的及研究意义，通过介绍英语在当今时代背景下的意义，尤其是微信小程序在联系用户与英语学习等方面的作用，讲解了英语学习和微信小程序方面的国内及国际研究情况。然后对论文的每章内容进行了大致的概要介绍，以便引导读者了解论文结构。
　　第二章：本章对系统开发选用的编程语言Java以及开发平台进行简介，对前端小程序框架、后端服务框架选择以及应用进行描述，系统整体架构，包括数据库架构等，对数据库技术、API接口设计、安全加密技术等技术的应用进行阐述。
　　第三章：本章主要给出了系统的可行性分析和系统需求分析，对项目从经济性、技术性、操作性三个方面进行分析并给出项目的可行性以及必要性，根据用户分析结果确定系统需要实现的功能，并通过用户用例图、数据流图等工具使用户的需求和数据流动逻辑一目了然。
　　第四章：本章进行系统的总体设计，展示了系统的高层架构设计，说明组件间的交互关系，详细描述了单词推荐、单词学习、单词默写、后台管理等核心功能模块的设计想法，并运用E-R图和数据库表结构设计表示了数据组织和数据之间的关系模型。
　　第五章：主要针对系统功能模块作详细设计，描述各小程序页设计、交互设计、以及关键的技术实现，给出后端接口设计、接口定义、逻辑处理、数据交互等，最后给出后台管理界面设计与功能实现，做好平台的有效运维。
　　第六章：本章进行了系统测试与评估，明确测试的目标，介绍采用的测试类型
通过具体的测试用例，分析测试过程中发现的问题及解决方案，评估系统性能与稳定性。
　　第七章：本章为论文总结，主要结合论文完成情况对基于微信小程序的英语随时学系统的下一步发展方向进行展望，例如运用AI技术等。
1.6  本章小结
　　本节主要概述在移动互联网技术迅猛发展的背景下，强调作为新兴起的应用启动的微信小程序英语学习平台，在连接英语学习和用户方面具有独特的价值和重要的意义，英语学习方式逐步向数字化方向转变的趋势。提高用户的学习体验和系统的高效管理，通过构建一个集个性化学习、单词推荐、AI对话、人工智能英语发音测评以及完整高效的后台管理系统为一体的微信小程序英语学习平台。
　　随后，在本章中对促进英语学习数字化进程的论文研究目的和意义进行了详细阐述。最后介绍了整篇论文的总体结构安排，为读者提供技术选型、系统设计、实现、测试及系统未来展望等后续章节所要探讨的内容的规划蓝图，夯实了系统深入研究的基础。

第二章 开发环境与工具
2.1  系统开发语言
　　在基于微信小程序的英语随时学系统的设计中，主要采用的是以Java语言作为后端开发语言，并结合后端的开发框架SpringBoot+MyBatis进行后端的开发工作。J在面向对象的编程语言中，有C/C++，Java，Python语言，在该系统中主要采用的开发语言是Java，该语言存在了面向对象的的三大特点即封装，继承以及多态。在该系统中，Java语言的封装性主要体现在Pojo层中，封装的主题类主要来自多个方面，例如数据库中的数据库表的类的封装，后端接收前端传送的数据类，后端向前端发送的数据类，为了使得数据的传输具有目的性，因此，在该系统中封装主要的作用就是保证数据的安全性；继承性是实现了代码的重用和扩展，子类可以对父类的方法进行继承并且在继承类中发展自己的特有属性；多态性则是通过对方法的重写和接口的实现，从而使得同一个操作函数作用于不同对象时产生的，例如在该系统的开发中使用了模板类函数，帮助后端在向前端传输数据时，可以对不同的类进行向前端的传输，降低了代码的冗余性能，提高了代码的复用性，极大的提高了整个系统的灵活性和可扩展性。Java因其具有以此编写，到处运行的跨平台特性。对于SpringBoot框架中，使用Lombok工具包进行简化整个代码的编写，其中@Data注解帮助一个类自动的生成setter/getter方法，@AllArgsConstructor和@NoArgsConstructor注解自动生成构造方法等，在开发过程中，通过使用注解简化了代码，其优点也进一步体现了使用Java编程的优越性。
　　在SpringBoot开发框架中，因其具有性能成熟可靠，运行效率高的优点而被熟知[19]，其提供着自动配置和起步依赖功能，使得整个项目搭建和配置过程进行了简化。在MyBatis中，其主要是作为轻量级ORM框架，通过使用XML配置或者注解的方式实现SQL的映射，通过将数据库表映射为一个java对象，这样就可以帮助开发人员实现对数据库的访问，实现存储操作，也实现了关系型数据库与面向对象编程范式之间的良好转换。
　　在该系统中的管理端网页开发以及客户端小程序开发的前端设计中，主要采用的主流框架为Vue.js框架，Vue.js是目前流行的Web前端开发框架之一，是一套构建用户界面的渐进式框架，采用的是MVVM(Model-View-ViewModel)设计模式，支持数据驱动和组件化开发，与Augular，React等前端框架相比，Vue.js提供了更加简洁，易于理解的API，使得用户可以快速上手，因此在对于已经学过HTML，CSS，JavaScript的开发者而言，使用Vue,js框架则可以简化整个系统的开发流程[20]。当下Vue.js版本中主要以Vue2和Vue3两个主流版本，由于Vue3兼容Vue2版本，因此，在本系统的开发中，主要采用的是Vue3。
2.2  系统开发平台
　　在本系统的开发研究过程中，主要采用的集成开发环境为IntelliJ IDEA和HbuilderX以及微信开发者工具。其中IDEA集成开发环境主要是用于该系统中的后端 编写以及系统管理员网页端界面的编写，其提供了完善的Java生态系统的支持和基于Vue框架的网页端开发平；HbuilderX则主要用于uniapp小程序客户端的开发过程，其代码的编译环境则是由深圳腾讯公司支持的微信开发者工具实现的；上述两种开发平台的相互作用共同构成了完整的全栈开发解决方案。
　　IDEA集成开发环境在后端开发过程中体现出了强大的技术优点。IntelliJ IDEA的主要功能和优势包括有全新的SQL支持以及新增了许多核心Java功能。在全新的SQL支持中，该功能使得在该IDE中编辑数据库脚本和运行查询的命令成为了现实，为几类SQL语言提供了全方位的辅助编码功能；在新增的许多Java功能中，系统可以根据开发的编码习惯，进行提示词的过程，简化的了代码编写的过程[21]。
　　HbuilderX作为uniapp官方推荐的开发工具，在小程序开发中具有独特优势。其核心特点包括：通过条件编译技术，一套代码可同时输出到微信、支付宝等多个小程序平台，因为在HbuilderX软件中提供了可以供用户选择的运行环境，用户可以通过实际的开发环境运行需求来进行修改；提供uniapp专属的语法提示和API自动补全，简化了代码的编写过程；包括模拟器调试和真机实时预览功能，对于真机实时调试功能，需要用户申请专业开发人员的APPID，这样才能够使用微信开发者工具的真机调试功能；性能优化工具：如分包加载分析器和原生组件调试接口。
　　通过对如上两种开发环境的详细阐述，其主要的特点都是通过项目目录结构以及配置文件进行有机整合而实现的。IDEA负责处理后端业务逻辑和API接口开发，HbuilderX则专注于前端界面和交互实现。这种分工协作的模式既保证了后端服务的稳定性，又充分发挥了uniapp的跨平台优势，为系统开发提供了高效的技术支持。
2.3  系统框架
2.3.1  小程序框架
　　在基于微信小程序的英语随时学系统的开发与设计过程中，小程序端设计的框架选择过程是至关重要的技术决策环节，其关系到整个系统的开发步骤的繁琐性。合理的框架选择关系到了整个系统的开发成本以及上线的维护成本，更直接影响到了整个系统的性能表现以及可扩展性。本研究中通过对多种主流前端框架的深入分析和对比评估，最终采用了基于Vue.js的Uniapp的小程序端界面开发框架，该开发框架的选择是通过对开发的硬件支持，系统支持以及微信小程序生态情况等多方面考虑之后而决策的。
